Q_0.02,Q_0.025,Q_0.03,Q_0.035,Depth
184672.20683287169,288550.323176362,415512.46537396125,565558.6334256696,0.0
224397.43657454834,328497.2117425234,455663.01332930295,616352.5778179084,61.224489795918366
264094.77228851034,368412.35211394087,495778.27189407934,667101.1835002576,122.44897959183673
303765.0799393195,408296.72990702745,535859.336620426,717805.8065995914,183.6734693877551
343409.19098462176,448151.2914633993,575907.259404968,768467.7504451624,244.89795918367346
383027.90402416117,487976.9457267363,615923.0505750254,819088.2680518986,306.1224489795918
422621.98635771923,527774.5660159845,655907.6808595997,869668.5644681249,367.3469387755102
462192.1754576542,567544.9917013595,695862.0832523179,920209.7989960833,428.57142857142856
501739.1803613269,607289.0297891651,735787.1547730222,970713.0872930563,489.7959183673469
541263.6829883327,647007.4564210309,775683.7581342328,1021179.5033603578,551.0204081632653
580766.339387126,686701.0182927833,815552.7233182802,1071610.0814269737,612.2448979591836
620247.7809153125,726370.4339978227,855394.8490705217,1122005.8177341714,673.469387755102
659708.6153575956,766016.3952995373,895210.9043136814,1172367.6722269752,734.6938775510204
699149.4279851015,805639.5683369978,935001.6294880277,1222696.57015802,795.9183673469388
738570.7825595534,845240.5947678795,974767.7378217769,1272993.4036089259,857.1428571428571
777973.2222855452,884820.092852313,1014509.9165358373,1323259.0329340054,918.3673469387755
817357.2707139428,924378.658481112,1054228.8279867244,1373494.2881307951,979.5918367346939
856723.4325992567,963916.8661516074,1093925.1107512414,1423699.970141627,1040.8163265306123
896072.1947136307,1003435.2698941098,1133599.3806562778,1473876.8520901676,1102.0408163265306
935404.0266199387,1042934.4041518236,1173252.231756869,1524025.6804566206,1163.265306122449
974719.3814063078,1082414.7846168624,1212884.2372654628,1574147.1761950415,1224.4897959183672
1014018.6963842518,1121876.9090248428,1252495.9504351406,1624242.0357960025,1285.7142857142858
1053302.3937524506,1161321.2579103815,1292087.9053993835,1674310.9322976458,1346.938775510204
1092570.8812280954,1200748.2953256737,1331660.6179708003,1724354.51624797,1408.1632653061224
1131824.552647591,1240158.4695241952,1371214.5864010898,1774373.416621024,1469.3877551020407
1171063.7885383018,1279552.2136114477,1410750.2921043714,1824368.2416895146,1530.612244897959
1210288.9566629226,1318929.9461645458,1450268.2003458801,1874339.5798561897,1591.8367346938776
1249500.412537958,1358292.071822338,1489768.7608979088,1924288.0004462046,1653.061224489796
1288698.4999277117,1397638.9818476476,1529252.4086647632,1974214.0544625598,1714.2857142857142
1327883.5513150897,1436971.054663131,1568719.564278389,2024118.2753065655,1775.5102040816325
1367055.8883504586,1476288.6563621531,1608170.63466623,2074001.179465171,1836.734693877551
1406215.822279713,1515592.141196003,1647606.013592788,2123863.2671669014,1897.9591836734694
1445363.654352649,1554881.8520386927,1687026.0821762667,2173705.0230080257,1959.1836734693877
1484499.6762126712,1594158.1208305114,1726431.2093815967,2223526.9165504966,2020.408163265306
1523624.1702687992,1633421.26900143,1765821.752491071,2273329.402893115,2081.6326530612246
1562737.4100508867,1672671.6078754053,1805198.0575537418,2323112.923217275,2142.8571428571427
1601839.6605489175,1711909.439056555,1844560.4598146705,2372877.905308593,2204.081632653061
1640931.1785371825,1751135.0547981265,1883909.284125052,2422624.7640556176,2265.3061224489797
1680012.212884106,1790348.7383551337,1923244.8453341834,2472353.9019267815,2326.530612244898
1719083.0048484467,1829550.7643214832,1962567.4486641954,2522065.709426671,2387.7551020408164
1758143.7883625443,1868741.3989523593,2001877.3900683927,2571760.565532635,2448.9795918367345
1797194.7903032675,1907920.9004726084,2041174.9565740395,2621438.838112708,2510.204081632653
1836236.2307512609,1947089.5193718048,2080460.4266103343,2671100.884325742,2571.4285714285716
1875268.3232390687,1986247.4986866624,2119734.070322323,2720747.0510046296,2632.6530612244896
1914291.274988682,2025395.0742713998,2158996.149871419,2770377.6750234254,2693.877551020408
1953305.287139012,2064532.4750566464,2198246.9197231918,2819993.083649133,2755.1020408163263
1992310.5549637883,2103659.923297448,2237486.6269230284,2869593.594878899,2816.326530612245
2031307.2680803277,2142777.6348108808,2276715.5113602565,2919179.517763296,2877.5510204081634
2070295.6106496193,2181885.819203782,2315933.806021275,2968751.1527163563,2938.7755102040815
2109275.761568131,2220984.6800910607,2355141.737232214,3018308.7918129712,3000.0
