Depth,SPP,DP_Pipe,DP_Annulus,DP_Bit
0,843750,0,0,843750
30.3030303,863628.5548,9576.114859,10302.43992,843750
60.60606061,883495.2279,19146.50595,20598.72193,843750
90.90909091,903350.2291,28711.27434,30888.95477,843750
121.2121212,923193.7637,38270.5189,41173.24481,843750
151.5151515,943026.0326,47824.3364,51451.69617,843750
181.8181818,962847.2322,57372.82153,61724.41071,843750
212.1212121,982657.5552,66916.06699,71991.48816,843750
242.4242424,1002457.19,76454.16349,82253.02612,843750
272.7272727,1022246.32,85987.19984,92509.12012,843750
303.030303,1042025.127,95515.26297,102759.8637,843750
333.3333333,1061793.786,105038.438,113005.3484,843750
363.6363636,1081552.472,114556.8083,123245.664,843750
393.9393939,1101301.354,124070.4554,133480.8981,843750
424.2424242,1121040.596,133579.4593,143711.1369,843750
454.5454545,1140770.363,143083.8982,153936.4644,843750
484.8484848,1160490.812,152583.8488,164156.9632,843750
515.1515152,1180202.1,162079.3862,174372.714,843750
545.4545455,1199904.38,171570.5839,184583.796,843750
575.7575758,1219597.801,181057.514,194790.2867,843750
606.0606061,1239282.509,190540.247,204992.262,843750
636.3636364,1258958.649,200018.8522,215189.7964,843750
666.6666667,1278626.36,209493.3974,225382.9628,843750
696.969697,1298285.782,218963.9489,235571.8327,843750
727.2727273,1317937.048,228430.5719,245756.476,843750
757.5757576,1337580.291,237893.3301,255936.9614,843750
787.8787879,1357215.642,247352.2861,266113.3562,843750
818.1818182,1376843.228,256807.5011,276285.7264,843750
848.4848485,1396463.172,266259.0354,286454.1366,843750
878.7878788,1416075.598,275706.9477,296618.6501,843750
909.0909091,1435680.625,285151.2959,306779.3291,843750
939.3939394,1455278.371,294592.1365,316936.2346,843750
969.6969697,1474868.951,304029.5252,327089.4263,843750
1000,1494452.479,313463.5163,337238.9627,843750
1030.30303,1514029.065,322894.1633,347384.9014,843750
1060.606061,1533598.817,332321.5186,357527.2987,843750
1090.909091,1553161.843,341745.6335,367666.2099,843750
1121.212121,1572718.248,351166.5585,377801.6892,843750
1151.515152,1592268.133,360584.343,387933.7897,843750
1181.818182,1611811.599,369999.0355,398062.5638,843750
1212.121212,1631348.746,379410.6836,408188.0625,843750
1242.424242,1650879.67,388819.3339,418310.3361,843750
1272.727273,1670404.466,398225.0324,428429.434,843750
1303.030303,1689923.228,407627.8239,438545.4044,843750
1333.333333,1709436.048,417027.7526,448658.2949,843750
1363.636364,1728943.014,426424.8618,458768.152,843750
1393.939394,1748444.216,435819.1941,468875.0215,843750
1424.242424,1767939.739,445210.791,478978.9483,843750
1454.545455,1787429.67,454599.6936,489079.9763,843750
1484.848485,1806914.091,463985.9421,499178.149,843750
1515.151515,1826393.084,473369.5759,509273.5086,843750
1545.454545,1845866.731,482750.6338,519366.097,843750
1575.757576,1865335.109,492129.1538,529455.955,843750
1606.060606,1884798.296,501505.1734,539543.1229,843750
1636.363636,1904256.369,510878.7291,549627.64,843750
1666.666667,1923709.402,520249.8571,559709.5453,843750
1696.969697,1943157.469,529618.5926,569788.8767,843750
1727.272727,1962600.642,538984.9705,579865.6716,843750
1757.575758,1982038.992,548349.0249,589939.9667,843750
1787.878788,2001472.588,557710.7893,600011.7982,843750
1818.181818,2020901.498,567070.2966,610081.2015,843750
1848.484848,2040325.791,576427.5793,620148.2112,843750
1878.787879,2059745.531,585782.669,630212.8618,843750
1909.090909,2079160.784,595135.597,640275.1867,843750
1939.393939,2098571.613,604486.394,650335.219,843750
1969.69697,2117978.081,613835.0902,660392.9911,843750
2000,2137380.25,623181.7152,670448.5349,843750
2030.30303,2156778.18,632526.2981,680501.8817,843750
2060.606061,2176171.93,641868.8675,690553.0623,843750
2090.909091,2195561.558,651209.4515,700602.1069,843750
2121.212121,2214947.123,660548.0778,710649.0454,843750
2151.515152,2234328.68,669884.7736,720693.9069,843750
2181.818182,2253706.286,679219.5656,730736.7201,843750
2212.121212,2273079.993,688552.48,740777.5134,843750
2242.424242,2292449.857,697883.5426,750816.3144,843750
2272.727273,2311815.929,707212.7788,760853.1505,843750
2303.030303,2331178.262,716540.2136,770888.0486,843750
2333.333333,2350536.906,725865.8714,780921.035,843750
2363.636364,2369891.912,735189.7765,790952.1356,843750
2393.939394,2389243.329,744511.9526,800981.3761,843750
2424.242424,2408591.204,753832.4229,811008.7814,843750
2454.545455,2427935.587,763151.2104,821034.3763,843750
2484.848485,2447276.523,772468.3377,831058.1851,843750
2515.151515,2466614.058,781783.8269,841080.2316,843750
2545.454545,2485948.239,791097.7,851100.5393,843750
2575.757576,2505279.11,800409.9783,861119.1313,843750
2606.060606,2524606.713,809720.6829,871136.0303,843750
2636.363636,2543931.094,819029.8348,881151.2587,843750
2666.666667,2563252.293,828337.4543,891164.8385,843750
2696.969697,2582570.353,837643.5614,901176.7913,843750
2727.272727,2601885.315,846948.1761,911187.1384,843750
2757.575758,2621197.219,856251.3178,921195.9007,843750
2787.878788,2640506.104,865553.0055,931203.099,843750
2818.181818,2659812.012,874853.2583,941208.7533,843750
2848.484848,2679114.978,884152.0946,951212.8838,843750
2878.787879,2698415.043,893449.5327,961215.5099,843750
2909.090909,2717712.242,902745.5905,971216.6512,843750
2939.393939,2737006.612,912040.2858,981216.3266,843750
2969.69697,2756298.191,921333.636,991214.5547,843750
3000,2775587.012,930625.6581,1001211.354,843750
